dataset,ver,alpha,gamma,c0p_prune_frac,n_runs,best@3_mean,best@3_std,best@10_mean,best@10_std,test@3_mean,test@3_std,test@10_mean,test@10_std,test_roc_mean,test_roc_std,test_ap_mean,test_ap_std
cora,aron_desc_inter,0.7,1.0,0.0,3,284.3333333333333,81.49573949327386,197.66666666666666,0.9428090415820634,0.5730550284629982,0.008198280453393908,0.7216951296647691,0.010882131900117189,0.9594833333333334,0.0034014245381735007,0.9627033333333334,0.001955749359083499
cora,aron_desc_inter,0.8,1.0,0.0,3,220.66666666666666,12.970050972229146,169.33333333333334,39.12657522565563,0.5755850727387729,0.01582542188892704,0.7216951296647691,0.015673006569720233,0.95761,0.0025583979362092807,0.9612666666666666,0.0015681269789855057
cora,aron_desc_inter,0.6,1.0,0.0,3,281.0,55.154328932550705,145.66666666666666,37.712361663282536,0.5838077166350412,0.028833071018447762,0.7109424414927261,0.018484047054019532,0.9594533333333334,0.0023711366238343985,0.9624766666666668,0.001440146597476173
cora,aron_desc_inter,0.7,1.0,0.1,3,5.666666666666667,0.4714045207910317,4.0,2.943920288775949,0.2846299810246679,0.018266323944584002,0.48323845667299176,0.007642660324854258,0.9252566666666667,0.0024294901156872908,0.9270633333333334,0.0021149835828099136
cora,aron_desc_inter,0.6,1.0,0.2,3,7.666666666666667,0.9428090415820634,4.666666666666667,6.599663291074443,0.34218848829854526,0.0318398809580094,0.48260594560404807,0.002366639713329495,0.9260266666666666,0.0011495023077643545,0.92721,0.0007438189743927374
cora,aron_desc_inter,0.8,1.0,0.1,3,23.666666666666668,4.109609335312651,8.666666666666666,5.792715732327589,0.2738772928526249,0.00880985975786472,0.48260594560404807,0.033743146535987686,0.92889,0.0002817800560720937,0.9288466666666667,0.0005561974070018384
cora,aron_desc_inter,0.8,1.0,0.05,3,14.666666666666666,10.96458946893235,9.666666666666666,4.109609335312651,0.2846299810246679,0.014779660272672883,0.48070841239721696,0.015901081707750186,0.9271566666666667,0.0013486124556578603,0.9280033333333333,0.0009152534560923015
cora,aron_desc_inter,0.7,1.0,0.15,3,4.0,2.943920288775949,3.6666666666666665,2.6246692913372702,0.2593295382669197,0.028244292930760417,0.4800759013282732,0.009675558849322172,0.9240333333333334,0.0003310924677823647,0.9260433333333333,0.00018263503375736927
cora,aron_desc_inter,0.6,1.0,0.05,3,7.666666666666667,0.9428090415820634,0.0,0.0,0.31309297912713474,0.06189566007704019,0.4775458570524984,0.0125230802487181,0.9241,0.0019596598344270603,0.9249900000000001,0.0019043284030510102
cora,aron_desc_inter,0.6,1.0,0.1,3,7.333333333333333,0.4714045207910317,3.0,3.559026084010437,0.31309297912713474,0.015493293755744332,0.476280834914611,0.01169718027128837,0.9249266666666668,0.0008529295919880285,0.92564,0.0007823468966300364
cora,aron_desc_inter,0.8,1.0,0.2,3,17.666666666666668,14.29063407348401,11.333333333333334,7.408703590297622,0.2738772928526249,0.03165084377785402,0.4731182795698925,0.028666082716317917,0.9275166666666667,0.0014718771083966973,0.92779,0.0013224472264202717
cora,aron_desc_inter,0.7,1.0,0.2,3,15.666666666666666,6.847546194724712,7.0,0.0,0.275774826059456,0.025237112388690718,0.4712207463630613,0.00715604585641033,0.9257466666666666,0.0030218905046712702,0.92678,0.002724567243924585
cora,aron_desc_inter,0.6,1.0,0.15,3,7.333333333333333,0.4714045207910317,4.333333333333333,5.436502143433364,0.31941808981657177,0.01183319856664752,0.4705882352941177,0.00862630088360902,0.9250633333333332,0.0006164594246357607,0.9256966666666667,0.0006272869270827246
cora,aron_desc_inter,0.7,1.0,0.05,3,8.0,10.614455552060438,3.6666666666666665,2.6246692913372702,0.26628716002530045,0.01867782803318584,0.4693232131562302,0.013972626207700529,0.9236033333333333,0.0004215315989209978,0.9254000000000001,0.0007105397009785435
cora,aron_desc_inter,0.8,1.0,0.15,3,16.666666666666668,13.072447700751718,13.0,0.816496580927726,0.2795698924731183,0.016995608908974558,0.4408602150537635,0.031764401086628,0.9264733333333334,0.0006321568019267639,0.9274833333333333,0.0016079040877973873
