dataset,scope,remove_frac_hint,alpha,n_runs,test_hit3_mean,test_hit3_var,test_hit3_std,test_hit3_n_eff,test_hit10_mean,test_hit10_var,test_hit10_std,test_hit10_n_eff
Cora_ML,c0p,0.02,0.8,30.0,0.2633537832310838,0.002064992344807686,0.045442186840068406,30.0,0.49456032719836396,0.0008524254565103312,0.029196326078983488,30.0
Cora_ML,c0p,0.05,0.8,30.0,0.2776687116564417,0.0020598701364436907,0.04538579223109023,30.0,0.5031901840490798,0.0008972188225583097,0.029953611177257238,30.0
Cora_ML,c0p,,0.8,30.0,0.2626584867075664,0.0032492036566684106,0.057001786434009334,30.0,0.48642126789366064,0.001054553682171297,0.03247389231630999,30.0
Cora_ML,cp,0.02,0.8,30.0,0.2874437627811861,0.002980080060462824,0.05459010954800168,30.0,0.4264621676891615,0.00039015480403875754,0.01975233667287892,30.0
Cora_ML,cp,0.05,0.8,30.0,0.29922290388548056,0.001863487090434232,0.043168125861962454,30.0,0.4354601226993865,0.0014165692192482553,0.03763733809992752,30.0
Cora_ML,cp,,0.8,30.0,0.31910020449897747,0.0006128929964616094,0.024756675795865837,30.0,0.4478118609406953,0.0010261877228798753,0.03203416493183294,30.0
LastFMAsia,c0p,0.02,0.8,30.0,0.20990407673860909,0.00023914244937466052,0.015464231289484147,30.0,0.2832254196642685,0.00026070867443975845,0.016146475604284623,30.0
LastFMAsia,c0p,0.05,0.8,30.0,0.2047841726618705,0.00020161330622924125,0.014199060047384872,30.0,0.2848800959232614,0.00015046593338080718,0.012266455616061519,30.0
LastFMAsia,c0p,,0.8,30.0,0.17529976019184654,9.661930589490206e-05,0.009829511986609613,30.0,0.31184652278177455,0.0007304267228737475,0.027026407879585986,30.0
LastFMAsia,cp,0.02,0.8,30.0,0.06643884892086331,5.651479808462831e-05,0.007517632478688242,30.0,0.18707434052757793,0.00011911225175156329,0.010913855952483672,30.0
LastFMAsia,cp,0.05,0.8,30.0,0.07965227817745801,0.00016130994980745743,0.012700785401204819,30.0,0.1745203836930456,0.000266960581869409,0.016338928418638998,30.0
LastFMAsia,cp,,0.8,30.0,0.07296163069544365,6.88109894123897e-05,0.008295238960535719,30.0,0.19051558752997602,0.00017891452157053816,0.013375893299908539,30.0
citeseer,c0p,0.02,0.8,30.0,0.5212454212454213,0.0010337193436852396,0.03215150608735522,30.0,0.6357509157509159,0.00048334436814921887,0.02198509422652582,30.0
citeseer,c0p,0.05,0.8,30.0,0.5322344322344322,0.0006816046149126858,0.026107558578172065,30.0,0.6432967032967035,0.0007462533677008853,0.027317638399043304,30.0
citeseer,c0p,,0.8,30.0,0.5243956043956044,0.0006048245047866113,0.024593180046236625,30.0,0.6419047619047621,0.0005333133457422962,0.02309357801949053,30.0
citeseer,cp,0.02,0.8,30.0,0.32776556776556787,0.000949321740530532,0.030811065228753973,30.0,0.563956043956044,0.0009356191364527852,0.03058789199099515,30.0
citeseer,cp,0.05,0.8,30.0,0.33003663003663014,0.0010880189660030508,0.03298513249940117,30.0,0.5835164835164837,0.0007787665157881149,0.0279063884404291,30.0
citeseer,cp,,0.8,30.0,0.3260073260073261,0.0011234136584648145,0.033517363536901504,30.0,0.5654212454212454,0.0011219479017887514,0.033495490767993706,30.0
cora,c0p,0.02,0.8,30.0,0.48127767235926633,0.00016003775780268372,0.012650603060830093,30.0,0.6069576217583806,0.000207280536393225,0.014397240582598633,30.0
cora,c0p,0.05,0.8,30.0,0.48153067678684386,0.00032944129816782006,0.018150517848475288,30.0,0.6096141682479443,0.00033720128151055036,0.018363041183598928,30.0
cora,c0p,,0.8,30.0,0.4845667299177736,0.00012129992095577494,0.011013624333332554,30.0,0.6072738772928525,0.0002064734981255814,0.014369185715467019,30.0
cora,cp,0.02,0.8,30.0,0.24984187223276408,0.0006814713905141053,0.026105007000843828,30.0,0.5003162555344719,0.00043489015981551196,0.020854020231492822,30.0
cora,cp,0.05,0.8,30.0,0.22802024035420618,0.0010869150002050703,0.03296839395853353,30.0,0.49886148007590136,0.0002732383254775403,0.016529922125573984,30.0
cora,cp,,0.8,30.0,0.2390259329538267,0.001395675425432292,0.037358739612469424,30.0,0.5088551549652118,0.00018179054310902496,0.013482972339548316,30.0
